id;var;q1;q2;q3
1;1;919;1107;1255
1;2;674;993;1176
1;3;14.8;16.2;16.8
1;4;30;69.7;98
2;1;969;1058;1107
2;2;955;1143;1171
2;3;14;15.6;17.6
2;4;62.9;80.5;103.3
3;1;872;1069;1233
3;2;805;1014;1152
3;3;15.8;16.8;17.3
3;4;41.9;50;120
4;1;759;1040;1217
4;2;598;1024;1197
4;3;12.7;13.5;16.6
4;4;60.9;73.2;100
5;1;626;1063;1097
5;2;608;1068;1108
5;3;13.1;13.8;13.8
5;4;47.7;66.9;100
6;1;913;1058;1208
6;2;845;1012;1167
6;3;13.7;14.7;17.7
6;4;51.5;66.9;87.5
7;1;903;1041;1165
7;2;628;970;1177
7;3;12.8;15.3;17.8
7;4;47.4;62.7;82.6
8;1;961;1026;1100
8;2;887;972;1014
8;3;15.2;15.6;16.2
8;4;55.1;78.5;88.4
9;1;992;1099;1197
9;2;708;944;1118
9;3;8.0;16.0;23.5
9;4;41.4;62.0;81.5
10;1;1103;1177;1249
10;2;989;1157;1222
10;3;12;13.5;16.5
10;4;56.5;63.5;66.5
